	starting	moving	stopping	stationary	turning	turning-right	turning-left	u-turn	crawling	walking	running	sitting	standing	talking	writing	reading	eating	pointing	open	closed	azure	black	blue	brown	gray	green	orange	pink	purple	red	white	yellow	same-object	part-of	clear-line-of-sight	on	together	touching	facing	facing-opposite	inside	outside	below	same-motion	opposite-motion	following	passing	putting-in	closer	farther	occluding	driving	entering	exiting	crossing	carrying	loading	unloading	mounting	dismounting	donning	doffing	wearing	putting-up	taking-down	throwing	catching	putting-down	picking-up	dropping	swinging	animal	arm	art	automobile	ball	bottom-wear	building	bumper	ceiling	chair	clothing	disc	door	ear	eye	female	fender	floor	food	foot	footwear	glasses	grass	ground	hand	hat	head	hood	leg	light	lower-arm	lower-body	lower-leg	luggage	male	mouth	natural	nose	object	other	package	paved	person	pillar	plant	road	roof	room	sidewalk	sky	small-object	table	tool	top-wear	torso	trashcan	trunk	two-wheeled-vehicle	unpaved	upper-arm	upper-leg	vehicle	wall	wall-switch	wheel	window
animal	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
arm	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	UnableToRespond	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton
art	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond
automobile	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	AbleToRespond	Unspecified	AbleToRespond	UnableToRespond	UnableToRespond	NotSure	Unspecified	Unspecified	Unspecified	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	Unspecified	AbleToRespond	AbleToRespond	UnableToRespond	AbleToRespond	UnableToRespond	UnableToRespond	AbleToRespond	Unspecified	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
ball	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
bottom-wear	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
building	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
bumper	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
ceiling	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
chair	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	AbleToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
clothing	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
disc	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	OutdoorAuditorium	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	UnableToRespond	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified	Unspecified
door	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	UnableToRespond	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	UnableToRespond	ItDepends	UnableToRespond	UnableToRespond	UnableToRespond	ItDepends	ItDepends	ItDepends	ItDepends	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	ItDepends	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	ItDepends	UnableToRespond	UnableToRespond	UnableToRespond	UnableToRespond	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	UnableToRespond	ItDepends	ItDepends	UnableToRespond	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends	ItDepends
ear	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	UnableToRespond	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton
eye	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	UnableToRespond	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	UnableToRespond	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton	Skeleton
